,Title,Enrolled,Course_Type,Level,Subject,Language,Price[USD],Length[Weeks]
360,Software Development Fundamentals,"51,402",Self-paced on your time,Intermediate,Computer Science,English,149,4
361,"First Nights - Stravinsky’s Rite of Spring: Modernism, Ballet, and Riots","17,484",Self-paced on your time,Introductory,Humanities,English,49,3
362,Critical Thinking & Problem Solving,"6,558",Self-paced on your time,Introductory,Communication,English,199,3
363,Data Analysis Essentials,"42,262",Self-paced on your time,Introductory,Business & Management,English,79,6
364,Master Control in Supply Chain Management and Logistics,"31,326",Self-paced on your time,Introductory,Business & Management,English,49,7
365,Work and Employment for a Sustainable Future,"6,528",Self-paced on your time,Intermediate,Economics & Finance,English,49,6
366,Foundations of Data Structures,"54,075",Self-paced on your time,Intermediate,Computer Science,English,149,6
367,"Financial Programming and Policies, Part 1: Macroeconomic Accounts & Analysis","31,024",Self-paced on your time,Intermediate,Economics & Finance,English,25,6
368,IoT System Design: Software and Hardware Integration,"13,608",Self-paced on your time,Intermediate,Computer Science,English,99,4
369,English for Doing Business in Asia – Writing,"44,252",Self-paced on your time,Introductory,Humanities,English,60,7
370,Working in Teams: A Practical Guide,"43,981",Self-paced on your time,Introductory,Humanities,English,49,4
371,Introducción a los encofrados y las cimbras en obra civil y edificación,"16,029",Self-paced on your time,Introductory,Engineering,Español,50,4
372,AI Chatbots without Programming,"35,440",Self-paced on your time,Introductory,Computer Science,English,99,2
373,Introducción a la Ciencia de Datos y el Big Data,"16,268",Self-paced on your time,Intermediate,Data Analysis & Statistics,Español,49,4
374,Just Money: Banking as if Society Mattered,"25,553",Self-paced on your time,Introductory,Business & Management,English,49,16
375,Introducción a R,"6,431",Self-paced on your time,Introductory,Data Analysis & Statistics,Español,49,4
376,Computing in Python IV: Objects & Algorithms,"28,112",Self-paced on your time,Introductory,Computer Science,English,99,5
377,Adobe Illustrator: aprende a crear presentaciones de impacto,"18,613",Self-paced on your time,Introductory,Design,Español,15,5
378,Teaching Critical Thinking through Art with the National Gallery of Art,"18,595",Self-paced on your time,Introductory,Education & Teacher Training,English,25,16
379,Word intermedio: herramientas de formato y productividad,"10,265",Self-paced on your time,Intermediate,Computer Science,Español,50,6
380,Introducción a las finanzas: Principios de valoración,"17,344",Self-paced on your time,Intermediate,Economics & Finance,Español,49,4
381,Aprende a diseñar jardines verticales y cuadros vivos,"6,341",Self-paced on your time,Introductory,Biology & Life Sciences,Español,29,4
382,"Anatomy: Cardiovascular, Urinary, and Respiratory Systems","36,917",Self-paced on your time,Introductory,Biology & Life Sciences,English,49,4
383,Software Engineering: Introduction,"35,524",Self-paced on your time,Advanced,Computer Science,English,125,6
384,Structure of Materials,"13,042",Self-paced on your time,Intermediate,Engineering,English,150,16
385,Fundamentos de fotografía documental,"13,036",Self-paced on your time,Introductory,Art & Culture,Español,49,6
386,AP® Italian Language and Culture (2020-2021),"39,398",Self-paced on your time,Advanced,Humanities,Italiano,49,12
387,Computer Hardware and Operating Systems,"9,715",Self-paced on your time,Introductory,Computer Science,English,150,6
388,Marketing Management,"43,415",Instructor-led on a course schedule,Advanced,Business & Management,English,214,7
389,You Can Innovate: User  Innovation & Entrepreneurship,"18,974",Self-paced on your time,Introductory,Business & Management,English,49,10
390,Analytics in Python,"82,210",Instructor-led on a course schedule,Intermediate,Business & Management,English,249,12
391,Bases Matemáticas: Álgebra,"35,811",Self-paced on your time,Introductory,Math,Español,50,4
392,HTML5 Apps and Games,"86,850",Self-paced on your time,Advanced,Computer Science,English,199,4
393,MATLAB and Octave for Beginners,"68,706",Self-paced on your time,Introductory,Computer Science,English,139,4
394,AP Physics 1,"43,401",Self-paced on your time,Introductory,Physics,English,49,18
395,The Divine Comedy: Dante's Journey to Freedom,"12,005",Self-paced on your time,Introductory,Humanities,English,49,8
396,Linux Basics: The Command Line Interface,"32,726",Self-paced on your time,Introductory,Computer Science,English,49,7
397,Entrepreneurial Operations: Launching a Startup,"23,808",Self-paced on your time,Intermediate,Business & Management,English,149,4
