,Title,Price[USD],Subscribers,Reviews,Lectures,Level,Length[Weeks],Subject,Published_Date,Language
540,Essential Options: Strategies for Mastering the Stock Market,50,211,9,27,Intermediate Level,5.0,Business Finance,2013-03-06,English
541,The Day Trader: Learn to Trade The Stock Market and Forex,20,768,23,54,All Levels,10.5,Business Finance,2014-08-21,English
542,Introduction To The World Of Equity Finance,20,29,9,32,All Levels,2.0,Business Finance,2015-12-08,English
543,Stock Technical Analysis with Excel,50,156,16,41,All Levels,7.0,Business Finance,2016-04-28,English
544,Beginners Forex strategy,0,2144,47,20,Beginner Level,1.0,Business Finance,2016-03-18,English
545,Mortgage Backed Securities,50,376,29,21,All Levels,3.5,Business Finance,2014-03-13,English
546,The Complete Financial Model Builder Course-Build 7 Models,75,214,20,88,All Levels,9.0,Business Finance,2015-03-19,English
547,Fundamental Financial Math,50,406,13,15,All Levels,2.5,Business Finance,2014-03-04,English
548,Equity Swaps,50,394,25,18,All Levels,3.0,Business Finance,2014-03-13,English
549,Proven Methods In Trading Candlestick Patterns,75,438,10,22,All Levels,1.5,Business Finance,2016-02-12,English
550,Read financial statements as a stock investor,20,56,8,18,Beginner Level,2.0,Business Finance,2015-07-10,English
551,Investing: How to Fix Hidden Flaws Inside Your Portfolio,195,58,8,14,All Levels,1.0,Business Finance,2015-12-03,English
552,Certificate Program in Financial Accounting,50,1047,3,20,All Levels,4.5,Business Finance,2014-04-24,English
553,Trading Biotech Stocks - Understanding the Healthcare Sector,55,166,17,16,All Levels,1.5,Business Finance,2015-04-24,English
554,Indian Contract Act 1872: Must for all Finance Professionals,20,605,3,14,All Levels,1.0,Business Finance,2016-05-20,English
555,Fundraising Success: The Art & Science of Major Gifts,50,38,9,25,Intermediate Level,2.5,Business Finance,2016-05-27,English
556,Smart Trading Techniques for Safe & Consistent Weekly Result,100,46,11,24,Intermediate Level,2.5,Business Finance,2016-05-24,English
557,Technical Trading and Investing Made Easy,40,217,7,27,Intermediate Level,1.5,Business Finance,2014-12-24,English
558,Budgeting for Business,40,78,22,25,All Levels,2.5,Business Finance,2016-01-11,English
559,Complete Guide to Business Loans,30,35,4,35,Beginner Level,1.5,Business Finance,2015-12-04,English
560,Hot Trading Investing Strategy: ETF and Futures,50,80,10,13,All Levels,2.5,Business Finance,2014-12-08,English
561,Financial Management - A Complete Study,190,1941,128,527,All Levels,71.5,Business Finance,2014-12-22,English
562,MQL4 Programming for Traders: Build Robust Trading Robots!,195,1367,33,74,All Levels,7.0,Business Finance,2016-02-22,English
563,Ultimate Stock Market Investing: Learn How to Value Stocks,50,1519,40,46,All Levels,3.5,Business Finance,2015-11-03,English
564,Collection of Advanced Options concepts for Options traders,40,2025,34,9,Expert Level,1.0,Business Finance,2015-04-13,English
565,No Bull Investing: Investing 101 For Financial Freedom,100,1213,12,25,Beginner Level,6.5,Business Finance,2017-03-13,English
566,Financial Modeling - Build Your Own 3 Statement Projection,20,1092,48,13,Beginner Level,1.0,Business Finance,2016-07-05,English
567,Small Business Owners: Drive a Productive Business and Grow,20,5099,2,15,Beginner Level,3.0,Business Finance,2015-01-20,English
568,Successful Day Trading with Fibonacci,200,869,135,11,All Levels,2.0,Business Finance,2015-08-31,English
569,Short Straddles - Exploit Earnings Option Volatility Crush,60,59,8,7,Expert Level,0.5833333333333334,Business Finance,2017-05-24,English
570,Bitcoin For Beginners: Your Quick Start Guide To Bitcoin,0,10670,444,15,All Levels,1.0,Business Finance,2016-03-03,English
571,Technical Analysis 101: Ten Primary Candlestick Reversals,95,1741,85,84,All Levels,7.0,Business Finance,2014-10-05,English
572,Financial Analysis:  A Recipe for Success,0,19614,635,14,All Levels,1.5,Business Finance,2014-04-23,English
573,"Basics of Fixed Income Valuation, CFA Level I 2017 Prep",20,4,0,14,Beginner Level,3.5,Business Finance,2017-01-28,English
574,Intro to Financial Statement Audits,50,1,0,9,Intermediate Level,1.5,Business Finance,2017-06-29,English
575,"How to Get Growing, Passive Income from the Fortune 500!",25,4,0,12,All Levels,1.0,Business Finance,2017-01-19,English
576,Managing Budgets in the Public and Non Profit Sector,95,4,0,20,All Levels,2.0,Business Finance,2017-06-22,English
577,System of Asset Management for Professionals (SAMP),50,8,1,8,Expert Level,1.0,Business Finance,2015-09-25,English
578,How to invest in Forex Trading & add an additional income,50,8,2,14,All Levels,2.0,Business Finance,2015-11-21,English
579,Tax made simple for Limited Company Owners and Contractors,50,11,0,57,All Levels,3.0,Business Finance,2015-02-18,English
580,Introduction to the 8 Pillars for Accountants,20,18,0,33,Beginner Level,0.6166666666666667,Business Finance,2014-08-16,English
581,FX Trading for Beginners,20,16,0,22,All Levels,1.5,Business Finance,2013-12-01,English
582,Write a Successful Business Grant Proposal,20,6,0,23,Beginner Level,2.5,Business Finance,2016-07-10,English
583,A Guide To Trade Binary Options Like An Expert,55,4,0,21,All Levels,1.0,Business Finance,2016-07-18,English
584,Ratio analysis for bankers and credit analysts,20,1,0,13,Beginner Level,3.0,Business Finance,2017-04-12,English
585,Numbers for the  Business Plan,20,210,1,12,All Levels,1.5,Business Finance,2014-09-22,English
586,Dash Crypto Currency Technical and Trading Overview Bootcamp,20,4,1,14,All Levels,1.0,Business Finance,2017-06-19,English
587,1 - Concepts of Statistics For Beginners Step by Step,200,273,4,15,Beginner Level,0.5166666666666666,Business Finance,2015-08-30,English
588,4. Ordinary Simple Annuities: The Basics,20,237,1,17,All Levels,1.5,Business Finance,2014-01-31,English
589,الدروس التعليمية لسوق الفوركس والأسواق المالية الأخرى,0,368,3,69,All Levels,20.5,Business Finance,2017-04-25,Arabic
590,Financial Risk Manager (FRM) Certification: Level II,50,86,7,87,All Levels,47.0,Business Finance,2013-07-24,English
591,Level 1 2014 CFA® Program – Corporate Finance,40,204,1,18,All Levels,3.0,Business Finance,2014-06-21,English
592,3. Compound Interest ,20,570,2,21,All Levels,2.0,Business Finance,2014-02-11,English
593,8. Amortization Schedules,20,225,1,5,All Levels,1.0,Business Finance,2014-03-19,English
594,Finance Fundamentals for Non Finance Leaders,20,37,7,15,All Levels,1.0,Business Finance,2015-08-04,English
595,Strategy layout and Backtesting,200,36,2,24,Expert Level,4.0,Business Finance,2016-09-21,English
596,Easy Forex and Futures Trading,100,218,5,66,All Levels,14.5,Business Finance,2013-12-31,English
597,Finanzas y Análisis Financiero: Manejo Seguro de Negocios,20,50,18,13,Beginner Level,1.5,Business Finance,2014-12-16,Spanish
598,Aprende a hacer paper trading (simulación) con Ninja Trader,25,148,3,15,Beginner Level,1.5,Business Finance,2013-11-15,Spanish
599,Trading mit kleinen Konten - Grundlagen die du kennen musst,80,74,4,20,Beginner Level,3.5,Business Finance,2017-03-29,German
600,entiende la contabilidad y consigue un aumento de salario,20,260,18,17,Beginner Level,1.5,Business Finance,2015-09-23,Spanish
601,Trade for Profit: Find-Trade Stocks Successfully Arabic عربي,95,299,5,65,All Levels,2.5,Business Finance,2015-11-12,English
602,Trading Forex  - L'analyse des volumes,70,4,3,13,All Levels,2.0,Business Finance,2017-06-29,English
603,Disminuye deudas en tu hogar en menos de 30 días,20,65,3,15,Beginner Level,1.5,Business Finance,2015-05-19,Spanish
604,CPA 10 COMPLETO,25,101,25,18,All Levels,5.0,Business Finance,2016-08-10,English
605,Trading Intradiario basado en Precio y Volumen,40,92,15,19,Intermediate Level,1.5,Business Finance,2015-02-18,Spanish
606,Aprenda Cálculo Financeiro de Forma Simples,20,76,14,21,All Levels,2.0,Business Finance,2016-06-02,Portuguese
607,Wie funktionieren Bitcoin? Ein Einführungskurs.,20,14,4,14,Beginner Level,0.6166666666666667,Business Finance,2017-05-10,German
608,Estruturação Financeira,45,18,3,18,All Levels,3.5,Business Finance,2017-05-08,Portuguese
609,Five steps to becoming a winner in stock investing,20,21,1,28,All Levels,3.0,Business Finance,2015-11-06,English
610,Financial Accounting Plus Excel and SAP Crash Course.,20,18,2,11,Beginner Level,1.0,Business Finance,2016-05-23,English
611,Introduction to Financial Consolidation under IFRS,25,21,3,8,All Levels,1.5,Business Finance,2016-12-05,English
612,How to read a Profit & Loss Account and Balance Sheet,20,49,10,13,All Levels,2.0,Business Finance,2014-09-22,English
613,Learn Bookkeeping From Scratch,20,168,2,21,All Levels,3.0,Business Finance,2014-11-05,English
614,ACCA MA1 Management Information,50,16,1,48,Beginner Level,3.5,Business Finance,2015-08-24,English
615,Introduction to Bitcoin for Beginners,20,2,1,7,Beginner Level,0.5666666666666667,Business Finance,2017-04-28,English
616,Stock Trading: Ultimate Guide to swing trading stocks,200,336,6,13,All Levels,0.6833333333333333,Business Finance,2016-10-25,English
617,Bookkeeping Systems,20,20,1,9,All Levels,1.0,Business Finance,2014-09-22,English
618,Precious Metal Equities,20,28,1,8,All Levels,1.0,Business Finance,2013-05-26,English
619,Start Now: A Rescue Plan for Retirement Late Savers,150,11,1,15,All Levels,0.65,Business Finance,2016-11-19,English
620,Eu Funding: Module 2 - Introduction to Horizon 2020,20,11,1,6,Intermediate Level,1.0,Business Finance,2015-05-20,English
621,How I Make Money Writing About Stocks Online,195,360,24,12,Beginner Level,2.5,Business Finance,2015-12-18,English
622,Tradeonomics - Four Steps to Mastering Economic Indicators,20,1189,13,41,All Levels,4.0,Business Finance,2016-04-01,English
623,Improve Your Financial Literacy,0,9995,96,10,All Levels,2.0,Business Finance,2014-02-10,English
624,Forex Trading : Power Of Moving Averages,200,100,24,33,All Levels,4.0,Business Finance,2017-01-02,English
625,Demystifying Your Personal Tax Return,0,3426,27,14,Beginner Level,1.0,Business Finance,2015-11-25,English
626,Samuel and Co Trading - Stock & Forex Trading,50,592,109,24,All Levels,5.5,Business Finance,2014-02-10,English
627,Accounting Department's Tips & Tricks - Beginner to Advanced,95,1222,14,61,All Levels,6.0,Business Finance,2015-10-07,English
628,Certificate Program In Management Accounting,50,1532,7,24,All Levels,6.0,Business Finance,2014-04-24,English
629,How I Trade Forex Successfully,0,5768,109,12,All Levels,1.5,Business Finance,2015-11-13,English
630,Professional Trading With Institutional Supply & Demand,200,343,84,37,All Levels,5.5,Business Finance,2014-11-24,English
631,Master Calendar Spreads with this live trade on Gold (GLD),60,540,44,6,Expert Level,1.0,Business Finance,2013-03-02,English
632,Accounting 101: Guide to Business Accounting,50,2031,15,29,Beginner Level,14.5,Business Finance,2014-04-21,English
633,An Introduction to Financial Markets on Wall Street,30,7,1,29,All Levels,2.0,Business Finance,2017-04-28,English
634,Win 90% of Trades; Quantitative Investments Models in Excel,200,4,1,16,Beginner Level,1.5,Business Finance,2017-06-28,English
635,The Forex Pivot Points Trading Strategy,20,21,2,12,All Levels,2.0,Business Finance,2017-03-22,English
636,Your Business by the Numbers,25,29,2,42,All Levels,3.0,Business Finance,2013-09-26,English
637,Forex - Trade Gartley with Precision - Complete Strategy,20,50,1,23,All Levels,1.5,Business Finance,2016-07-29,English
638,Bitcoin & Ethereum Course (2 Course Bundle),200,1,0,52,All Levels,2.5,Business Finance,2017-07-05,English
639,Create Trading Robot Without Coding Skills!,145,5,0,13,All Levels,1.0,Business Finance,2017-06-16,English
640,Accounting and the Triple Bottom Line,30,6,2,19,Intermediate Level,0.55,Business Finance,2015-07-10,English
641,MQL5 - Beginner To Expert,45,16,1,16,Beginner Level,1.5,Business Finance,2017-04-06,English
642,How to be A High Performance Insurance Broker Part 2,40,70,3,15,All Levels,2.0,Business Finance,2014-04-06,English
643,"CFA Level I Workshop 5: Corp Finance, Quants II & Derivative",20,110,1,5,All Levels,1.0,Business Finance,2013-08-12,English
644,Xero Bookkeeping Course & Certification by Accounting Firm,20,7,3,15,Beginner Level,2.0,Business Finance,2017-02-13,English
645,Trading News Using Binary Options,145,1186,16,22,All Levels,1.5,Business Finance,2016-05-11,English
646,Trading Trends in ANY Market,30,632,49,22,All Levels,2.0,Business Finance,2015-10-04,English
647,Financial Statements Analysis: Learn to Invest Like a Pro!,50,1237,54,35,Beginner Level,2.5,Business Finance,2016-02-04,English
648,Contango VXX - ETF Options Trading - Double Your Investment,200,513,20,20,All Levels,1.0,Business Finance,2016-10-06,English
649,Mergers and Acquisitions M&A Essentials You Need to Know,95,4103,19,15,Beginner Level,1.0,Business Finance,2013-11-13,English
650,TRADING MARKET MAP,45,1489,32,27,All Levels,3.5,Business Finance,2015-07-01,English
651,How To Confidently Join The Bitcoin Revolution,45,547,98,53,Beginner Level,7.0,Business Finance,2016-01-14,English
652,High Probability Trading Across Any Market: Stocks & Forex,95,353,27,105,All Levels,18.5,Business Finance,2016-12-01,English
653,Option Trading for Rookies: Make & Manage Profitable Trades,95,507,19,59,All Levels,2.0,Business Finance,2016-09-02,English
654,Your First Successful Forex Trades - With Case Studies,200,1079,34,16,All Levels,2.5,Business Finance,2015-05-26,English
655,MCA Accountancy and Financial Management -Paper MCS 35 IGNOU,180,3667,4,460,All Levels,43.5,Business Finance,2014-12-06,English
656,"High-Frequency Trading #1: Basics, History & Strategies",50,2222,24,11,All Levels,0.6,Business Finance,2015-09-28,English
657,Financial Accounting - The Ultimate Beginner Course,100,9,2,101,Beginner Level,10.0,Business Finance,2017-04-06,English
658,Level 1 2014 CFA® Program – Derivatives,40,225,2,17,All Levels,2.5,Business Finance,2014-09-03,English
659,The Complete Investing Guide: How to Beat Wall Street,50,13,3,25,All Levels,5.5,Business Finance,2016-06-14,English
660,"Bitcoins - Past, Present, Future",20,373,3,14,Beginner Level,1.5,Business Finance,2014-04-23,English
661,Learn Accounting by Specific Examples - Part 1,50,306,0,5,All Levels,0.6333333333333333,Business Finance,2014-11-28,English
662,Forex: Presentation and  Analysis (Fundamental & Technical),50,14,3,22,Beginner Level,1.5,Business Finance,2016-01-16,English
663,Year-end QuickBooks Procedures,20,51,2,10,Beginner Level,2.0,Business Finance,2015-02-19,English
664,Price Action Gap Trading Strategies,20,13,2,5,Intermediate Level,1.0,Business Finance,2016-12-31,English
665,How to start a successful career in finance?,0,1318,7,27,All Levels,2.0,Business Finance,2016-08-24,English
666,Level 1 2014 CFA® Program – Equity Investments,40,347,0,24,All Levels,4.5,Business Finance,2015-01-30,English
667,Wealth Management,30,274,1,21,All Levels,3.5,Business Finance,2014-12-17,English
668,Basics of Private Equity,60,9,2,6,Intermediate Level,0.6666666666666666,Business Finance,2017-05-09,English
669,Curso Completo del Mercado FOREX,200,359,86,50,All Levels,5.5,Business Finance,2015-11-18,Spanish
670,Como Investir em Ações para Iniciantes,0,6024,890,18,All Levels,1.0,Business Finance,2014-04-11,Portuguese
671,Robots de Forex: espere ganar 175%p.a! Incluye Robot de Fx! ,130,315,49,41,All Levels,5.0,Business Finance,2016-01-22,Spanish
672,６時間でインターバンク市場を攻略！最短距離でトレード基礎力,35,280,40,54,All Levels,4.0,Business Finance,2015-11-10,Japanese
673,Matemática Financeira de um jeito fácil,95,401,67,20,All Levels,1.5,Business Finance,2013-07-23,Portuguese
674,ビットコイン生態系｜既存通貨が主役をやめる日,20,701,55,16,Beginner Level,1.5,Business Finance,2014-06-23,Japanese
675,Trading Forex - Trader avec les figures harmoniques,90,57,11,23,Beginner Level,2.0,Business Finance,2017-03-31,French
676,Введение в Финансовую Инженерию,50,205,20,20,Beginner Level,5.0,Business Finance,2016-11-20,Russian
677,Aprenda a Investir no Tesouro Direto Passo a Passo,35,62,10,19,All Levels,1.0,Business Finance,2017-04-25,Portuguese
678,資産運用の基礎を学ぶファイナンス入門,20,114,13,52,Beginner Level,4.0,Business Finance,2016-07-07,Japanese
679,Aprende a invertir y deja que tu dinero trabaje para ti,145,789,68,95,All Levels,14.0,Business Finance,2014-03-03,Spanish
680,Buchführung lernen leicht gemacht,40,446,39,70,Beginner Level,5.0,Business Finance,2016-06-13,German
681,Day Trading: High ROI Day Trading ,150,17,2,51,Intermediate Level,6.5,Business Finance,2015-07-29,English
682,Flow Management and Forecasting,20,16,2,10,All Levels,1.0,Business Finance,2014-09-22,English
683,An Introduction to Management of Portfolios (MoP),20,117,15,6,Beginner Level,1.5,Business Finance,2014-03-06,English
684,CFA Level I Workshop 1: Ethics and Quantitative Methods,20,147,4,5,All Levels,1.0,Business Finance,2013-08-12,English
685,Accounting Basics 101 for Understanding Business,20,7,2,18,All Levels,1.0,Business Finance,2016-01-07,English
686,Mortgage Acceleration,20,247,2,17,All Levels,1.5,Business Finance,2015-08-21,English
687,Stock Market for Beginners. Learn to trade,35,143,15,42,All Levels,3.5,Business Finance,2013-10-03,English
688,CFA Corporate Finance Level 1 (Part 1),180,621,1,107,All Levels,14.5,Business Finance,2014-12-06,English
689,Trading Tips from Hedge Fund Manager,50,6,2,32,All Levels,1.0,Business Finance,2015-07-22,English
690,Effective Debt Collection Strategies,40,5,2,16,Intermediate Level,1.5,Business Finance,2015-11-30,English
691,IAS 1-Presentation of Financial Statements ,0,2674,81,8,All Levels,1.0,Business Finance,2014-10-03,English
692,Stock Trading Strategies Using a D.A.R.T.,20,227,3,5,All Levels,1.0,Business Finance,2015-05-26,English
693,Capital Structuring Techiques for CA / CFA / CPA Exams,125,4480,12,50,Intermediate Level,7.0,Business Finance,2014-12-05,English
694,The Complete Guide to Forex Trading,20,1329,12,33,All Levels,5.0,Business Finance,2017-02-05,English
695,Learn How to Trade Binary Options Professionally,0,5144,169,7,All Levels,1.0,Business Finance,2017-02-03,English
696,Learn How to Start Small and Make It Big In Small-Cap Stocks,50,2635,13,29,Beginner Level,2.0,Business Finance,2016-02-08,English
697,Trading strategies with common sense technical analysis,75,1750,71,29,All Levels,3.0,Business Finance,2015-07-19,English
698,Startup Business: How To Raise Seed Capital,95,3360,12,34,All Levels,3.0,Business Finance,2015-03-15,English
699,Business Economics - Basics (College Level),50,3425,10,50,All Levels,4.0,Business Finance,2015-09-16,English
700,Technical Analysis 101: Master the Basics of Trading,95,2688,61,50,All Levels,2.0,Business Finance,2015-05-13,English
701,Investing in Stocks? Master The Art of Covered Calls Selling,80,1095,17,35,All Levels,3.0,Business Finance,2016-07-28,English
702,How to Trade Binary Options Effectively – All Levels,195,1680,39,17,All Levels,1.0,Business Finance,2016-01-27,English
703,Stock Market: The Zero Risk Way of Investing,25,2046,14,8,Beginner Level,0.6333333333333333,Business Finance,2016-03-18,English
704,Forex Trading using professional indicators by TOP traders,200,1699,40,28,All Levels,3.5,Business Finance,2015-07-07,English
705,Corporate Finance 101: Equity Valuation,50,1071,14,50,All Levels,6.0,Business Finance,2016-03-29,English
706,Trading Strategies: Find The Trading Strategy That Fits You,20,1037,3,12,All Levels,2.0,Business Finance,2015-12-29,English
707,Forex Trading - Learn An Effective Forex Trading Strategy,95,223,34,16,All Levels,1.5,Business Finance,2016-12-14,English
708,Navigate the 10-K and Other Financial Reports,40,653,55,20,All Levels,2.5,Business Finance,2014-11-08,English
709,From 0 to 1: Investments and Portfolio Theory,50,230,0,22,Beginner Level,4.5,Business Finance,2017-05-01,English
710,Bitcoin - The Complete Guide,20,2281,12,24,All Levels,5.5,Business Finance,2014-07-04,English
711,Professional Trader's Mindset - Complete Forex Course,50,4702,17,6,All Levels,1.0,Business Finance,2013-06-07,English
712,Bitcoin Peer Investing: How To Generate Double Digit Returns,25,366,45,41,All Levels,2.5,Business Finance,2016-01-24,English
713,Forex Breakout Profits: The Definitive Guide,25,521,60,27,All Levels,2.5,Business Finance,2014-11-30,English
714,Learn to Trade With Fibonacci Tools,30,252,45,30,Intermediate Level,4.0,Business Finance,2016-08-17,English
715,"Investing Internationally into Real Estate, Stocks and Bonds",200,1101,14,37,All Levels,2.0,Business Finance,2016-01-27,English
716,From 0 to 1: Bond Theory and Valuation,50,223,2,29,Beginner Level,4.0,Business Finance,2017-05-02,English
717,Stock Market Mastery,20,135,2,25,All Levels,7.5,Business Finance,2014-06-08,English
718,UK Self Assessment Tax Return Filing Online,20,23,7,6,All Levels,0.4666666666666667,Business Finance,2015-12-07,English
719,Introduction to Financial Statements,40,112,1,14,Beginner Level,1.5,Business Finance,2015-08-16,English
720,"IAS 8-Accounting Policies ,Changes in Accounting Estimates",0,2122,30,15,All Levels,2.5,Business Finance,2014-10-03,English
721,CFA® Level 1 2014 – Financial Reporting and Analysis,50,152,2,102,All Levels,10.0,Business Finance,2015-02-26,English
722,Investment Banking Operations : Securities Trade Life Cycle,30,267,9,10,All Levels,2.0,Business Finance,2015-01-02,English
723,CFA Level I Foundation Course: Introduction to Quants,50,155,4,11,Beginner Level,5.0,Business Finance,2013-08-05,English
724,Financial Risk Manager (FRM) Certification: Level I,50,87,25,113,All Levels,24.0,Business Finance,2013-10-26,English
725,IAS 10 - Events After Reporting Date,0,2146,35,8,All Levels,1.0,Business Finance,2014-05-07,English
726,Investment Portfolio Analysis with Excel,50,154,7,39,All Levels,9.0,Business Finance,2015-11-12,English
727,Introduction to the CFA Program,0,4248,66,6,Beginner Level,1.0,Business Finance,2013-08-12,English
728,Chartered Financial Analyst (CFA) - Level 1 - FRA,30,517,5,17,Beginner Level,14.5,Business Finance,2014-06-30,English
729,Excel 4 Accounting & Bookkeeping - Master Lookup Functions,35,2638,140,12,All Levels,1.0,Business Finance,2016-02-13,English
730,Cashflow Management for Small Businesses: A How To Guide,25,2914,11,5,All Levels,0.6166666666666667,Business Finance,2016-06-13,English
731,Forex Basics (Professional Course Level),20,6050,34,25,All Levels,1.5,Business Finance,2014-12-19,English
732,Advanced Butterfly Spreads for Options Income Strategies,60,16,1,8,Expert Level,1.0,Business Finance,2017-07-04,English
733,The Holy Grail of Auto Trading Forex Futures Stocks Revealed,50,3917,45,7,All Levels,1.0,Business Finance,2016-05-03,English
734,IPO Fundamentals,20,1122,13,6,Beginner Level,1.0,Business Finance,2017-03-02,English
735,Finance for Non-Finance: Learn Quick and Easy,20,4158,51,30,Beginner Level,2.5,Business Finance,2016-02-25,English
736,Advanced Options Trading Course,40,1252,2,6,Intermediate Level,0.5333333333333333,Business Finance,2017-06-29,English
737,Statistics - Measures of Dispersion for CA / CS / CFA exams,20,5108,9,13,All Levels,1.0,Business Finance,2015-09-14,English
738,Work From Home Online (Part/Full) : Trade Forex 4 Beginners,45,2981,23,17,Beginner Level,1.0,Business Finance,2016-10-09,English
739,Financial Ratios Using Excel,100,1223,14,29,Beginner Level,1.0,Business Finance,2017-03-07,English
740,How To Start Trading Penny Stocks In 10 Easy Steps 2017,50,7750,58,15,All Levels,1.5,Business Finance,2014-07-17,English
741,How to Copy the Best Traders on Etoro,90,564,9,41,All Levels,3.5,Business Finance,2014-05-01,English
742,How To Set Up A Limited Company In The UK,0,2075,69,11,Beginner Level,0.7333333333333333,Business Finance,2015-04-20,English
743,Forex trading made simple,100,45,4,31,All Levels,1.5,Business Finance,2015-09-25,English
744,Financial and Business Simulation with Microsoft Excel,20,44,5,8,Expert Level,0.5166666666666666,Business Finance,2015-03-29,English
745,10.  Bonds and Bond Pricing,20,308,4,10,All Levels,1.0,Business Finance,2014-02-11,English
746,Professional Risk Manager (PRM) Certification: Level 3,50,55,5,22,All Levels,12.5,Business Finance,2013-07-23,English
747,Stocks: Quick Method to get started Investing,0,718,13,7,Beginner Level,1.0,Business Finance,2017-05-18,English
748,The Fundamentals Of Finance For Non-Finance Professionals,40,206,3,7,All Levels,1.5,Business Finance,2016-05-18,English
749,Forex - Top Equity Management Strategy,20,18,4,13,All Levels,0.5833333333333334,Business Finance,2016-06-20,English
750,The Truths about (in)secure Retirement,200,86,6,32,Intermediate Level,4.5,Business Finance,2016-10-03,English
751,Learn How to File Taxes for Uber and Lyft Drivers,40,294,5,25,All Levels,2.0,Business Finance,2015-02-12,English
752,Learn the Basics of the Wave Principle:,30,27,4,10,Beginner Level,1.5,Business Finance,2015-07-02,English
753,MasterClass-Japanese &  Heiken Ashi CandleStick Patterns,195,375,10,26,All Levels,3.5,Business Finance,2017-03-12,English
754,Start Trading Stocks Using Technical Analysis! Part 2,95,94,11,25,All Levels,2.0,Business Finance,2017-05-23,English
755,Introduction to Corporate Finance (Mergers & Acquisitions),0,2080,83,30,Beginner Level,1.5,Business Finance,2017-02-28,English
756,Forex & Financial Market Trading Tutorial- Online Strategies,0,3137,30,69,All Levels,9.0,Business Finance,2017-04-12,English
757,Learn to trade Candlestick Patterns,20,155,23,22,Intermediate Level,1.5,Business Finance,2016-08-16,English
758,High-Frequency Trading #2: Market Structure & Instruments,50,1732,11,12,All Levels,0.6833333333333333,Business Finance,2015-11-19,English
759,The Art Of Financial Valuation With Certificate,20,3372,12,12,All Levels,2.0,Business Finance,2013-09-29,English
760,Sensitivity & Scenario Analysis for CA / CFA / CPA Exams,20,2185,3,13,All Levels,2.0,Business Finance,2015-09-20,English
761,"Economics:   Competition, Elasticity, a little Game Theory",50,1008,14,42,All Levels,6.0,Business Finance,2016-04-12,English
762,Quantitative Trading Analysis with Python,50,256,17,49,All Levels,5.5,Business Finance,2017-01-27,English
763,Invest Like a Pro!,200,1173,22,15,Beginner Level,2.5,Business Finance,2015-12-29,English
764,Options Trading Essentials: The ULTIMATE Guides,0,1352,6,20,All Levels,4.0,Business Finance,2017-04-24,English
765,ACCA FA1 Recording Financial Transactions,50,49,8,27,Beginner Level,3.5,Business Finance,2015-07-14,English
766,CFA® Level 1 2014 – Portfolio Management,40,124,2,10,All Levels,2.0,Business Finance,2015-03-02,English
767,Essentials Of Swing Trading Stocks,20,105,9,5,All Levels,1.0,Business Finance,2015-06-03,English
768,Small Business and Managerial Accounting Training Tutorial,20,117,3,71,Beginner Level,3.5,Business Finance,2013-06-19,English
769,Use Crowdfunding Effectively With Indiegogo and Kickstarter,0,6533,32,9,All Levels,2.0,Business Finance,2013-06-25,English
770,The Complete Litecoin Crypto Currency Bootcamp,20,7,3,24,All Levels,1.0,Business Finance,2017-06-28,English
771,Bank Reconciliation & VAT on Excel,20,30,5,19,All Levels,1.5,Business Finance,2014-09-22,English
772,Commodity Futures Day Trading Strategies,95,91,5,28,All Levels,5.0,Business Finance,2015-08-28,English
773,Learn to invest in the Stock Market,40,28,5,14,Beginner Level,1.0,Business Finance,2014-11-12,English
774,FX Commodity Chart Trading Patterns for Success,50,83,10,15,All Levels,2.5,Business Finance,2015-07-19,English
775,Forex Elite Trading,85,623,7,22,All Levels,6.0,Business Finance,2013-10-18,English
776,How to Invest in Startups - Expert Reveals Winning Secrets.,0,1625,5,145,All Levels,8.5,Business Finance,2016-08-29,English
777,Kickstarter success in 5 easy steps,20,0,0,12,All Levels,0.5166666666666666,Business Finance,2017-05-16,English
778,Understanding Financial Statements,25,0,0,10,All Levels,1.0,Business Finance,2016-12-15,English
779,Planning and Executing a Financial Statement Audit,50,0,0,9,Intermediate Level,2.0,Business Finance,2017-06-29,English
780,The Latest Updates 2016 Financial Accounting Standards Board,50,1,0,9,Intermediate Level,2.0,Business Finance,2017-06-29,English
781,How to achieve personal transformation,20,0,0,10,All Levels,0.5333333333333333,Business Finance,2016-12-22,English
782,Basic Bookkeeping,35,0,0,12,Beginner Level,0.7333333333333333,Business Finance,2017-05-23,English
783,"Credit concepts and checklist for bankers, credit analyst",20,0,0,10,Beginner Level,2.5,Business Finance,2017-04-24,English
784,Practical Film Financing: Finding & Pitching Investors,100,0,0,9,Beginner Level,1.0,Business Finance,2017-07-05,English
785,Ratio Analysis for Financial Statements,50,0,0,6,Beginner Level,2.0,Business Finance,2017-07-03,English
786,60 Minutes to Fundamental Accounting Skills,75,0,0,9,Beginner Level,2.5,Business Finance,2017-06-28,English
789,"Backspreads, Diagonals and Butterflies - Advanced Strategies",60,737,41,10,Expert Level,2.0,Business Finance,2013-03-03,English
790,Trade Forex 13 Patterns - Golden Ratios Secret Revealed,200,554,63,44,All Levels,4.0,Business Finance,2015-01-10,English
791,Crystal ball trading - foresee price with seasonal patterns,145,807,19,23,All Levels,6.0,Business Finance,2015-06-14,English
792,Weekly Options and study of Options expiration dynamics,60,779,56,6,Expert Level,1.0,Business Finance,2013-03-08,English
