,Title,Price[USD],Subscribers,Reviews,Lectures,Level,Length[Weeks],Subject,Published_Date,Language
53,Four Fundamentals of Financial Planning,30,6219,23,20,All Levels,1.0,Business Finance,2017-02-14,English
54,Options Trading - Calendar Spread Course for Every Trader,200,1113,11,17,All Levels,1.5,Business Finance,2017-04-02,English
55,Dividend Investing: Build Your Portfolio for a Better Future,60,8314,83,47,Beginner Level,4.0,Business Finance,2015-01-24,English
56,Learn Accounting. Understand Business.,200,5572,123,33,Beginner Level,5.5,Business Finance,2014-03-27,English
57,How to Consistently Win Trading Stocks in 30 Days or Less,145,1433,169,15,Intermediate Level,1.0,Business Finance,2016-05-09,English
58,A Beginner's Guide to Quantopian Futures API,20,936,6,11,Intermediate Level,1.5,Business Finance,2017-04-11,English
59,How to Buy Cheap Options - Options Trading Pricing Model,200,658,2,19,All Levels,1.0,Business Finance,2017-06-02,English
60,Excel Crash Course: Master Excel for Financial Analysis,105,8121,689,40,All Levels,3.5,Business Finance,2016-10-18,English
61,"Comprehensive Guide to Financial Markets, Investing &Trading",60,4187,600,79,Beginner Level,9.0,Business Finance,2016-02-29,English
62,Stock Trading Ninja: Complete System For Trading Success,155,9445,497,38,All Levels,4.5,Business Finance,2014-02-19,English
63,Hedge and Mutual Fund Careers: The Complete Guide,200,3255,340,102,All Levels,8.5,Business Finance,2016-06-20,English
64,Algorithmic Trading In Forex: Create Your First Forex Robot!,185,7941,713,40,All Levels,6.5,Business Finance,2014-08-11,English
65,The Power Modeling Bootcamp: Advanced Excel in 10 Days,150,1680,158,76,All Levels,5.5,Business Finance,2016-11-26,English
66,Options Trading Basics (3-Course Bundle),180,10100,985,45,Beginner Level,11.0,Business Finance,2013-02-25,English
67,How to Win 97% of Your Options Trades,125,5050,461,26,All Levels,1.5,Business Finance,2015-02-10,English
68,How I Make Consistent Returns Trading Options,200,2310,162,26,All Levels,3.5,Business Finance,2016-10-05,English
69,"Forex Strategies: Kelly Criterion, Larry Williams and more!",185,5528,506,32,All Levels,3.0,Business Finance,2015-02-19,English
70,"Elite Trend Trader: Learn To Trade Stocks, Options & Forex",125,6451,237,28,All Levels,5.0,Business Finance,2014-04-16,English
71,Options Trading Introduction: Day Trade Stock Options,95,12394,218,30,Beginner Level,2.5,Business Finance,2015-02-20,English
72,The Almost Perfect Options Trading Strategy System - Unique,200,1793,18,15,All Levels,1.0,Business Finance,2017-03-03,English
73,Forex Trading -  Learn to Trade Forex Like the Banks,20,3223,240,23,All Levels,1.0,Business Finance,2016-03-30,English
74,Learn to Trade for Profit:Trading with Japanese Candlesticks,60,16385,273,45,Beginner Level,3.0,Business Finance,2014-09-02,English
75,The Most Powerful Options Spread Trading Front Ratio Spread,200,1487,16,18,All Levels,2.0,Business Finance,2017-03-08,English
76,What Finance Job is for You? Explanation of 14 Finance Roles,200,2951,232,60,All Levels,4.0,Business Finance,2016-05-04,English
77,The Blueprint for Successful Stock Trading,120,2697,331,15,All Levels,1.0,Business Finance,2015-08-13,English
78,Trading for Beginners - Intermediate Level,150,3979,40,39,Beginner Level,5.0,Business Finance,2016-11-09,English
79,Start Trading Stocks Using Technical Analysis!,25,3190,244,45,All Levels,4.0,Business Finance,2016-02-03,English
80,Learn How to Set Up an Incubator Hedge Fund - Step-by-Step,200,1406,71,54,Expert Level,1.5,Business Finance,2017-01-18,English
81,VPS for Forex Trading - Protect Your Forex Robots,160,4252,225,24,All Levels,2.0,Business Finance,2014-09-19,English
82,Introduction to Accounting: The Language of Business,20,11958,370,134,Beginner Level,11.5,Business Finance,2014-10-02,English
83,Basic Excel for Basic Bookkeeping and Accounting,95,7743,340,33,Beginner Level,1.5,Business Finance,2015-09-10,English
84,"Using 'The Greeks To Understand Options""",50,2134,55,5,All Levels,1.0,Business Finance,2016-07-13,English
85,Trading Options For Consistent Returns: Calendar Spreads,200,1214,69,20,All Levels,1.5,Business Finance,2016-10-07,English
86,How to Create Your Personal Budget,20,3870,53,10,All Levels,1.0,Business Finance,2016-03-21,English
87,The Complete Value Investing Course: A Proven Approach,200,2146,212,49,All Levels,4.5,Business Finance,2015-06-16,English
88,FOREX Trading with Price Action,195,484,57,19,Beginner Level,1.0,Business Finance,2017-03-14,English
89,Emini ES Futures - Advanced Non Directional Options Trading,200,1057,15,14,All Levels,1.5,Business Finance,2017-01-11,English
90,Forex Trading - Advanced Fundamental Analysis,20,1754,100,49,Intermediate Level,2.5,Business Finance,2016-06-30,English
91,How To Invest With Tiny Capital In Stocks ?,20,1239,5,6,Beginner Level,0.7,Business Finance,2017-05-23,English
92,Learn How To Successfully Trade Stocks: In 5 Simple Steps,95,2493,276,108,All Levels,9.5,Business Finance,2015-01-31,English
93,Forex MetaTrader 4: Master MT4 Like A Pro Forex Trader,150,2602,402,57,Beginner Level,5.0,Business Finance,2015-10-28,English
94,Intermediate Options trading concepts for Stocks and Options,40,2000,30,9,All Levels,1.0,Business Finance,2015-04-13,English
95,Options Trading 101: The Basics,0,1514,66,11,Beginner Level,0.55,Business Finance,2017-03-23,English
96,Practical Accounts APP Overview,20,1361,1,14,Intermediate Level,3.0,Business Finance,2016-10-04,English
97,Bitcoin Profits for Beginners,100,61,18,30,Beginner Level,1.5,Business Finance,2017-06-09,English
98,Trend Traders Club: How To Find And Trade Fast Moving Trends,75,1513,31,60,All Levels,5.5,Business Finance,2015-08-04,English
99,Financial Statements Basics,20,1374,19,9,Beginner Level,2.0,Business Finance,2016-01-14,English
100,High performance Stock Trading using key Options techniques,40,2103,15,6,All Levels,1.5,Business Finance,2015-04-12,English
101,Introduction to Financial Statement Analysis,20,1480,25,25,Beginner Level,1.5,Business Finance,2016-03-21,English
102,Basics of Economics (College Level),25,2516,12,20,All Levels,1.5,Business Finance,2015-01-08,English
103,Stock Market Investing for Beginners,0,50855,2698,15,Beginner Level,1.5,Business Finance,2013-12-25,English
104,Accounting for Beginners : Learn Basics in under 1 Hour,50,1971,13,20,Beginner Level,1.5,Business Finance,2015-12-03,English
105,Straddle Options Trading - Profit in Any Market Direction,200,837,9,19,All Levels,1.0,Business Finance,2016-10-03,English
106,Fundamentals of Forex Trading,0,17160,620,23,All Levels,1.0,Business Finance,2014-08-29,English
107,"Binary Options: Trading Strategies, 90% Accuracy and Signals",195,1723,38,24,Beginner Level,1.0,Business Finance,2015-12-14,English
108,Website Investing 101 - Buying & Selling Online Businesses,0,6811,151,51,All Levels,2.0,Business Finance,2016-08-05,English
109,Practical Accounts & Bookkeeping Automated Overview ,20,2060,17,30,All Levels,4.5,Business Finance,2016-01-28,English
110,Live Account - ETF Trading System - Hacking The Stock Market,150,2318,19,16,All Levels,5.0,Business Finance,2014-12-31,English
111,Stock Market Leverage: How to Start Trading Options Wisely,95,2153,14,13,Beginner Level,1.5,Business Finance,2015-07-27,English
112,Stock Market Foundations,0,19339,794,9,Beginner Level,2.0,Business Finance,2014-03-31,English
113,Crash Course on Working Capital Management,20,3177,8,8,All Levels,1.0,Business Finance,2015-04-16,English
114,Advanced Accounting A Complete Study for CA / CMA / CFA / CS,150,1535,16,462,All Levels,62.0,Business Finance,2016-06-03,English
115,61% Profit In 1 Month - Crush Your Forex Trading Paradigm,20,1027,29,25,All Levels,1.5,Business Finance,2016-07-18,English
116,How to create a routine Trading,25,307,8,5,All Levels,0.1333333333333333,Business Finance,2017-05-01,English
117,"Forex Trading Secrets |MT4 Robot (EA) inside, no coding",150,2096,48,29,All Levels,0.6833333333333333,Business Finance,2015-08-24,English
118,Forex SOS Course: Trading Tweaks And Working Forex Strategy,50,1315,48,59,Beginner Level,2.5,Business Finance,2015-11-18,English
119,Introduction to Financial Modeling,0,29167,1463,8,Intermediate Level,1.5,Business Finance,2014-05-27,English
120,Quantitative Aptitude for Banking & Competitive Examinations,50,1056,1,42,All Levels,3.0,Business Finance,2017-02-09,English
121,Option Spreads and Credit Spreads Bundle,180,2212,194,24,Expert Level,4.5,Business Finance,2013-03-05,English
122,B Com Accountancy I (Paper ECO 02 IGNOU),50,2946,6,284,All Levels,31.5,Business Finance,2016-05-05,English
123,FOREX TRADING - Learn in a quick + profitable way + support,100,271,48,47,All Levels,3.5,Business Finance,2017-02-20,English
124,Auditing Basics (Professional Course Level),25,3771,10,35,All Levels,2.5,Business Finance,2015-02-13,English
125,Stock market Investing Encyclopedia: How to invest in stocks,200,3143,11,39,Intermediate Level,3.0,Business Finance,2015-11-10,English
126,Learn the basics of preparing accounting statements,20,1951,30,20,Intermediate Level,0.55,Business Finance,2015-10-13,English
127,Elliott Wave -Forex Trading With The Elliott Wave Theory,90,4022,35,14,Expert Level,1.0,Business Finance,2016-12-15,English
128,Corporate Finance - A Brief Introduction,0,11724,649,17,Beginner Level,1.5,Business Finance,2016-03-04,English
129,Excel functions to analyze and visualize data,20,2283,54,16,Intermediate Level,2.0,Business Finance,2015-04-20,English
130,Building Financial Statements in Excel,35,1181,1,18,Beginner Level,1.0,Business Finance,2017-06-29,English
