,Title,Rating,Language
119,Understanding Research Methods,4.579588728103579,English
120,IBM Customer Engagement Specialist Professional Certificate,4.811111111111111,English
121,Introduction to Calculus,4.878402903811252,English
122,Camino a la Excelencia en Gestión de Proyectos,4.564367816091954,Spanish
123,Introduction to HTML5,3.9888089528377297,English
124,Wine Tasting: Sensory Techniques for Wine Analysis,4.490384615384615,English
125,Excel Skills for Business: Intermediate I,4.8965360072926165,English
126,"Programming Foundations with JavaScript, HTML and CSS",4.533483146067415,English
127,Build a Modern Computer from First Principles: From Nand to Tetris (Project-Centered Course),4.888130968622101,English
128,Food & Beverage Management,4.815384615384615,English
129,Data Analysis with Python,4.43194925028835,English
130,Project Planning,4.35,English
131,Agile Meets Design Thinking,4.750390015600624,English
132,AWS Fundamentals: Going Cloud-Native,4.680155210643015,English
133,Construction Project Management,4.753846153846154,English
134,Introduction to Mathematical Thinking,4.786036036036036,English
135,Everyday Parenting: The ABCs of Child Rearing,4.929530201342282,English
136,Introduction to Healthcare,4.0,English
137,Machine Learning with Python,4.492443324937028,English
138,Terrorism and Counterterrorism: Comparing Theory and Practice,4.752508361204013,English
139,Data Management for Clinical Research,4.73992673992674,English
140,Sustainable Fashion,4.841269841269841,English
141,Foundations of Data Science: K-Means Clustering in Python,4.6,English
142,Instructional Design Foundations and Applications,3.860215053763441,English
143,Cursos en línea: modelo para armar,4.896551724137931,Spanish
144,Modern Art & Ideas,4.780016792611251,English
145,"Speak English Professionally: In Person, Online & On the Phone",4.749771689497717,English
146,Essential Google Cloud Infrastructure: Foundation,4.707152496626181,English
147,Introduction to Artificial Intelligence (AI),4.737288135593221,English
148,Dog Emotion and Cognition,4.661259541984733,English
149,International Leadership and Organizational Behavior,4.826086956521739,English
150,Driving business towards the Sustainable Development Goals,4.907216494845361,English
151,"The Sustainable Development Goals – A global, transdisciplinary vision for the future",4.794520547945205,English
152,Digital Transformation,4.7994296577946765,English
153,Sequence Models,4.633866481223922,English
154,Devenir entrepreneur du changement,4.745762711864407,French
155,Seeing Through Photographs,4.77599142550911,English
156,Entrepreneurship 1: Developing the Opportunity,4.77906976744186,English
157,Introduction to Search Engine Optimization,4.585099939430648,English
158,Learn to Speak Korean 1,4.896234309623431,English
159,Circular Economy - Sustainable Materials Management,,English
160,Drug Development,4.520766773162939,English
161,R Programming,4.245404868355688,English
162,Economics of Money and Banking,4.887719298245614,English
163,Chinese for Beginners,4.796844181459566,English
164,Grammar and Punctuation,4.75310008857396,English
165,Japanese for beginners 1,3.611111111111111,English
166,Introduction to English Common Law,4.8392156862745095,English
167,Introduction to Dental Medicine,4.8530805687203795,English
168,Fundamentals of Reinforcement Learning,4.689655172413793,English
169,The Power of Macroeconomics: Economic Principles in the Real World,4.619047619047619,English
170,Corporate Sustainability. Understanding and Seizing the Strategic Opportunity,4.633333333333334,English
171,Behavioral Finance,4.124386252045826,English
172,"Sequences, Time Series and Prediction",4.453815261044177,English
173,Supply Chain Logistics,4.710656316160903,English
174,Project Execution,3.7222222222222223,Romanian
175,Nutrición y obesidad: control de sobrepeso,4.789231779382797,Spanish
176,Microeconomics Principles,4.8293333333333335,English
177,Creative Writing: The Craft of Plot,4.648854961832061,English
178,Astronomy: Exploring Time and Space,4.883544303797469,English
179,Oil & Gas Industry Operations and Markets,4.823214285714286,English
180,Design Thinking for Innovation,4.667032364234778,English
181,EDIVET: Do you have what it takes to be a veterinarian?,4.762755102040816,English
182,Learn to Program: The Fundamentals,4.734966592427617,English
183,Financial Accounting Fundamentals,4.837772397094431,English
184,Finding Purpose and Meaning In Life: Living for What Matters Most,4.795221843003413,English
185,Understanding Clinical Research: Behind the Statistics,4.8317460317460315,English
186,Epidemiology: The Basic Science of Public Health,4.6520710059171595,English
187,Fashion as Design,4.8279773156899815,English
188,Teamwork Skills: Communicating Effectively in Groups,4.772954924874791,English
189,Feminism and Social Justice,4.818998716302953,English
190,International Organizations Management,4.801418439716312,English
191,Marketing Digital,4.709976798143852,English
192,Fundamentals of GIS,4.852253756260434,English
193,e-Learning Ecologies: Innovative Approaches to Teaching and Learning for the Digital Age,4.542168674698795,English
194,"Excel/VBA for Creative Problem Solving, Part 1",4.817808219178082,English
195,Rethinking International Tax Law,4.854460093896714,English
196,Introduction to Probability and Data with R,4.599605522682446,English
197,Understanding and Visualizing Data with Python,4.542207792207792,English
198,Fundamentals of Visualization with Tableau,4.304393305439331,English
199,Getting Started with SAS Programming,4.8808777429467085,English
200,Machine Learning for All,4.675814751286449,English
201,Using Databases with Python,4.7011922503725785,English
202,Addiction Treatment: Clinical Skills for Healthcare Providers,4.924812030075188,English
203,Dino 101: Dinosaur Paleobiology,4.9221476510067115,English
204,Sports Marketing,4.699074074074074,English
205,Positive Psychology,4.659316427783903,English
206,Introduction to Programming with MATLAB,4.811858974358974,English
207,Preparing to Manage Human Resources,4.835942818243703,English
208,Solar Energy Basics,4.767726161369193,English
209,Front-End Web UI Frameworks and Tools: Bootstrap 4,4.813981762917933,English
210,Building Scalable Java Microservices with Spring Boot and Spring Cloud,3.94300518134715,English
211,Introduction to Forensic Science,4.84593023255814,English
212,Google Cloud Product Fundamentals,4.619565217391305,English
213,American Contract Law I,4.852941176470588,English
214,Engineering Health: Introduction to Yoga and Physiology,4.701298701298701,English
215,AI for Medical Diagnosis,4.583657587548638,English
216,Natural Language Processing with Sequence Models,3.967741935483871,English
217,Introduction to Electronics,4.671309192200557,English
218,International Humanitarian Law in Theory and Practice,4.842931937172775,English
219,Making Architecture,4.823275862068965,English
220,Model Thinking,4.772251308900524,English
221,Supporting children with difficulties in reading and writing,4.747282608695652,English
222,Innovation Management,4.636075949367089,English
223,The Manager's Toolkit: A Practical Guide to Managing People at Work,4.6328125,English
224,"The Modern World, Part One: Global History from 1760 to 1910",4.815175097276264,English
225,Fundamentals of Music Theory,,English
226,Supply Chain Principles,4.561933534743202,English
227,Essential Google Cloud Infrastructure: Core Services,4.650331125827814,French
228,Weight Management: Beyond Balancing Calories,4.73936170212766,English
229,Miracles of Human Language: An Introduction to Linguistics,4.666666666666667,English
230,Java Programming: Solving Problems with Software,4.435828877005347,English
231,Race and Cultural Diversity in American Life and History,4.510204081632653,English
232,Inspiring and Motivating Individuals,4.828644501278772,English
233,"Competencias digitales. Herramientas de ofimática (Microsoft Word, Excel, Power Point)",4.7855855855855856,Spanish
234,Healing with the Arts,4.716814159292035,English
235,People Analytics,4.511758118701008,English
236,What is Social?,4.5860517435320585,English
237,UX Design Fundamentals,4.767068273092369,English
238,Creative Thinking: Techniques and Tools for Success,4.746987951807229,English
239,Introduction to Classical Music,4.909090909090909,English
240,Children's Human Rights - An Interdisciplinary Introduction,4.627976190476191,English
241,Investment Management in an Evolving and Volatile World by HEC Paris and AXA Investment Managers,4.488188976377953,English
242,Introduction to Data Analysis Using Excel,4.675745784695201,English
243,Mind Control: Managing Your Mental Health During COVID-19,4.818545697131421,English
244,Introduction to International Criminal Law,4.835548172757475,English
245,"FinTech: Foundations, Payments, and Regulations",4.57037037037037,English
246,Greek and Roman Mythology,4.775743707093821,English
247,Politics and Economics of International Energy,4.720125786163522,English
248,Continuous Delivery & DevOps,4.548523206751055,English
249,Teach English Now! Foundational Principles,4.91411501120239,English
250,Business Model Innovation,4.734939759036145,English
251,Introduction to User Experience Principles and Processes,4.7591623036649215,English
252,Beyond the Sustainable Development Goals (SDGs): Addressing Sustainability and Development,4.672413793103448,English
253,Process Mining: Data science in Action,4.68,English
254,Fundamentals of Immunology: Innate Immunity and B-Cell Function,4.758620689655173,English
255,Introduction to Corporate Finance,4.437118437118437,English
256,Global Diplomacy: the United Nations in the World,4.679310344827586,English
257,Algorithmic Toolbox,4.535564853556485,English
258,Troubles du spectre de l'autisme : diagnostic,4.872340425531915,French
259,Anatomy: Musculoskeletal and Integumentary Systems,4.808764940239044,English
260,Unraveling the Cycling City,,English
261,A Crash Course in Causality:  Inferring Causal Effects from Observational Data,4.619565217391305,English
262,English for Business and Entrepreneurship,4.877737226277373,English
263,Natural Language Processing with Attention Models,3.2857142857142856,English
264,What is Compliance?,4.798319327731092,English
265,Getting Started with Google Sheets,4.562162162162162,English
266,Data Visualization with Python,4.045252883762201,English
267,Foundations of Mindfulness,4.82051282051282,English
268,Negociación exitosa: Estrategias y habilidades esenciales (en español),4.818181818181818,Spanish
269,Data-driven Decision Making,4.5073995771670194,English
270,Fundamentals of Engineering Exam Review,4.393939393939394,English
271,Gender and Sexuality: Diversity and Inclusion in the Workplace,4.650406504065041,English
272,Managerial Accounting Fundamentals,4.87012987012987,English
273,Search Engine Optimization Fundamentals,4.719745222929936,English
274,Essentials of Global Health,4.857651245551601,English
275,International Security Management,4.658227848101266,English
276,Getting Started with AWS Machine Learning,4.413344887348353,English
277,Arts and Heritage Management,4.793478260869565,English
278,Understanding Einstein: The Special Theory of Relativity,4.899135446685879,English
279,Réussir le Changement,4.394009216589862,French
280,Equine Welfare and Management,4.892857142857143,English
281,International migrations: a global issue,4.316666666666666,English
282,Introduction to Web Development,4.65335463258786,English
